Gene A,Gene B,Uniprot A,Uniprot B,Symbol A,Symbol B,,,
56125,56123,Q9Y5F2,Q9Y5F0,PCDHB11,PCDHB13,,,
56139,56145,Q9Y5I2-2,Q9Y5H8-2,PCDHA10,PCDHA3,,,
54600,54575,O60656,Q9HAW8,UGT1A9,UGT1A10,,,
339010,317754,Q6S5H4,Q86YR6,POTEB,POTED,,,
27136,22880,Q86VD1,Q9Y6X9,MORC1,MORC2,,,
374,727738,UNKNOWN,P15514,AREG,AREGB,,,
644591,730262,A2BFH1,F5H284,PPIAL4G,PPIAL4E,,,
151636,83666,Q8TDB6,Q8IXQ6-2,DTX3L,PARP9,,,
1820,138715,Q99856,A6NKF2,ARID3A,ARID3C,,,
6399,126003,O14582,Q8IUR0,TRAPPC2,TRAPPC5,,,
4109,10499,P43363,Q15596,MAGEA10,NCOA2,,,
1164,983,P33552,P06493,CKS2,CDK1,,,
2939,221357,P09210,Q7RTV2,GSTA2,GSTA5,,,
54942,150962,Q9NX38,Q3MIT2,C9orf6,PUS10,,,
7096,10333,D6RAP2,Q9Y2C9,TLR1,TLR6,,,
2885,6655,P62993,Q07890,GRB2,SOS2,,,
9217,57605,O95292,Q9BZ72-2,VAPB,PITPNM2,,,
5993,64864,P48382,Q2KHR2-2,RFX5,RFX7,,,
80700,79609,Q9BZV1-2,Q9H867,UBXN6,METTL21D,,,
284541,1579,Q5TCH4,Q02928,CYP4A22,CYP4A11,,,
84669,100510589,Q8NFA0,Q7Z5T3,USP32,LOC100510589,,,
8945,3096,Q9Y297-2,P15822,BTRC,HIVEP1,,,
11274,373856,Q9UMW8,Q3LFD5,USP18,USP41,,,
79641,23335,Q9GZN7,Q9Y4E6-2,ROGDI,WDR7,,,
7518,3981,Q13426,P49917,XRCC4,LIG4,,,
8065,26118,Q93034,Q9Y6I7,CUL5,WSB1,,,
79641,1657,Q9GZN7,Q9Y485,ROGDI,DMXL1,,,
79363,80199,Q9BU20,E9PK12,RSG1,FUZ,,,
129880,55212,Q8N3I7-2,Q8IWZ6,BBS5,BBS7,,,
5874,94121,O00194,Q96C24,RAB27B,SYTL4,,,
58516,3065,Q9NP50,Q13547,FAM60A,HDAC1,,,
66002,8529,Q9HCS2,P78329,CYP4F12,CYP4F2,,,
54797,892,Q9BUE0,E5RFK5,MED18,CCNC,,,
51028,11267,Q86VN1,Q96H20,VPS36,SNF8,,,
404636,55855,Q8TCE6-2,Q6NSW5,FAM45A,FAM45B,,,
84292,11244,Q9BRX9,Q9UKY1,WDR83,ZHX1,,,
5635,5636,Q14558-2,O60256,PRPSAP1,PRPSAP2,,,
84440,9727,Q86YS3,O75154-3,RAB11FIP4,RAB11FIP3,,,
51499,51012,O43715,Q9Y3B1,TRIAP1,SLMO2,,,
3749,3746,Q03721-2,P48547,KCNC4,KCNC1,,,
79968,8139,Q9H967,Q9H2C0,WDR76,GAN,,,
6258,7376,P48443,P55055,RXRG,NR1H2,,,
10406,124997,Q14508,Q562E7,WFDC2,WDR81,,,
4253,64693,O15320-2,Q96RT6,CTAGE5,CTAGE1,,,
64786,23151,Q8TC07-2,Q6IC98,TBC1D15,GRAMD4,,,
55709,143384,Q9NVX7,Q86Y37,KBTBD4,C10orf46,,,
3065,91748,Q13547,Q6PJG2,HDAC1,C14orf43,,,
64750,57154,Q9HAU4,Q9HCE7-2,SMURF2,SMURF1,,,
2495,8031,P02794,Q13772,FTH1,NCOA4,,,
